path,source_relative,bytes,width,height,mode,format,embedded_dpi,sha256,duplicate_of
copper_wire/original/600-dicot-sim-39-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-39-1-120-15-deg0.jpg,13770,308,2017,L,JPEG,,a0140f3a8e66b7090a792f2dd03299a87dd8adf09d3f9b4375f40b6829d21a82,
copper_wire/original/600-dicot-sim-4-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-4-1-120-15-deg0.jpg,6439,110,1525,L,JPEG,,cc8e60b779a2ce80a0de6360eb27735b7a060e8ea11f3266754a3aa2292a9627,
copper_wire/original/600-dicot-sim-40-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-40-1-120-15-deg0.jpg,47972,538,2359,L,JPEG,,1148e04fdfa97cef73128ca88e83cb07f33d3b01674a606e2368a8170b4f6d72,
copper_wire/original/600-dicot-sim-41-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-41-1-120-15-deg0.jpg,2064,53,902,L,JPEG,,4c0519a1628840cb7149fb7218dc146e87d3aa8cbeda195351a87bbc1f9c0a3f,
copper_wire/original/600-dicot-sim-42-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-42-1-120-15-deg0.jpg,56554,671,2729,L,JPEG,,a828219cea1574beacb78e95f28cebbea3aeca1c3f99a2a3045340a00e1ad6b0,
copper_wire/original/600-dicot-sim-43-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-43-1-120-15-deg0.jpg,36983,524,2248,L,JPEG,,a68aaf8d36e044ab088590575efc7ade61afed825f2d9e5d69ef5c81cd9aede5,
copper_wire/original/600-dicot-sim-44-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-44-1-120-15-deg0.jpg,15125,328,1924,L,JPEG,,dd68d44cc15f2215f45ef7bf468f97eb54d3ee660725f0ccd37ff87e0aa94ae9,
copper_wire/original/600-dicot-sim-45-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-45-1-120-15-deg0.jpg,20975,345,2356,L,JPEG,,f76e8cc391278b45d714bd4b6994543ed8388d760db6038ea6ee3bc5eb48b8f6,
copper_wire/original/600-dicot-sim-46-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-46-1-120-15-deg0.jpg,43820,410,2613,L,JPEG,,d82ed01040c4bb65cba9a7f9943deeb0ea0d90dd4f1eece450c653819491ce05,
copper_wire/original/600-dicot-sim-47-1-120-15-deg0.jpg,铜丝模拟根系/600-dicot-sim-47-1-120-15-deg0.jpg,39299,482,2442,L,JPEG,,50108215b664ed6fdb2ee61554589202126f4d6efa353229b77ab385e76d69f7,
